Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
EU,Europe,EST,Estonia,2000,All,Age00,[0],0,0,,0
EU,Europe,EST,Estonia,2000,All,Age01_04,[1-4],0,0,,0
EU,Europe,EST,Estonia,2000,All,Age05_09,[5-9],0,0,,0
EU,Europe,EST,Estonia,2000,All,Age10_14,[10-14],1,3.57142857,,0.95799205
EU,Europe,EST,Estonia,2000,All,Age15_19,[15-19],18,26.08695652,,17.64359929
EU,Europe,EST,Estonia,2000,All,Age20_24,[20-24],18,13.13868613,,18.3364743
EU,Europe,EST,Estonia,2000,All,Age25_29,[25-29],30,20,,30.22822308
EU,Europe,EST,Estonia,2000,All,Age30_34,[30-34],19,9.74358974,,20.27315408
EU,Europe,EST,Estonia,2000,All,Age35_39,[35-39],23,7.51633987,,23.07962471
EU,Europe,EST,Estonia,2000,All,Age40_44,[40-44],51,9.18918919,,49.81928299
EU,Europe,EST,Estonia,2000,All,Age45_49,[45-49],52,6.57395702,,53.18604889
EU,Europe,EST,Estonia,2000,All,Age50_54,[50-54],32,3.4820457,,35.9833577
EU,Europe,EST,Estonia,2000,All,Age55_59,[55-59],33,2.98372514,,43.78109453
EU,Europe,EST,Estonia,2000,All,Age60_64,[60-64],28,1.69902913,,33.33928678
EU,Europe,EST,Estonia,2000,All,Age65_69,[65-69],21,1.07526882,,29.81472279
EU,Europe,EST,Estonia,2000,All,Age70_74,[70-74],22,0.8365019,,35.4467091
EU,Europe,EST,Estonia,2000,All,Age75_79,[75-79],14,0.5785124,,34.72652859
EU,Europe,EST,Estonia,2000,All,Age80_84,[80-84],10,0.55218112,,53.12084993
EU,Europe,EST,Estonia,2000,All,Age85_over,[85+],5,0.1510574,,28.08199944
EU,Europe,EST,Estonia,2001,All,Age00,[0],0,0,,0
EU,Europe,EST,Estonia,2001,All,Age01_04,[1-4],0,0,,0
EU,Europe,EST,Estonia,2001,All,Age05_09,[5-9],0,0,,0
EU,Europe,EST,Estonia,2001,All,Age10_14,[10-14],4,12.5,,3.91293715
EU,Europe,EST,Estonia,2001,All,Age15_19,[15-19],14,17.5,,13.73424241
EU,Europe,EST,Estonia,2001,All,Age20_24,[20-24],28,18.91891892,,28.57726067
EU,Europe,EST,Estonia,2001,All,Age25_29,[25-29],20,13.98601399,,20.36348827
EU,Europe,EST,Estonia,2001,All,Age30_34,[30-34],32,15.6097561,,33.64879075
EU,Europe,EST,Estonia,2001,All,Age35_39,[35-39],33,9.59302326,,34.26791277
EU,Europe,EST,Estonia,2001,All,Age40_44,[40-44],46,8.71212121,,45.02520433
EU,Europe,EST,Estonia,2001,All,Age45_49,[45-49],45,5.30035336,,45.88559192
EU,Europe,EST,Estonia,2001,All,Age50_54,[50-54],35,3.42465753,,38.08280289
EU,Europe,EST,Estonia,2001,All,Age55_59,[55-59],42,3.70697264,,58.57332125
EU,Europe,EST,Estonia,2001,All,Age60_64,[60-64],26,1.59216167,,30.77833679
EU,Europe,EST,Estonia,2001,All,Age65_69,[65-69],21,1.06707317,,30.19844694
EU,Europe,EST,Estonia,2001,All,Age70_74,[70-74],17,0.68993506,,26.95204122
EU,Europe,EST,Estonia,2001,All,Age75_79,[75-79],15,0.6122449,,35.31073446
EU,Europe,EST,Estonia,2001,All,Age80_84,[80-84],11,0.58016878,,55.86592179
EU,Europe,EST,Estonia,2001,All,Age85_over,[85+],12,0.36155469,,69.02502157
EU,Europe,EST,Estonia,2002,All,Age00,[0],0,0,,0
EU,Europe,EST,Estonia,2002,All,Age01_04,[1-4],0,0,,0
EU,Europe,EST,Estonia,2002,All,Age05_09,[5-9],1,4.16666667,,1.45560408
EU,Europe,EST,Estonia,2002,All,Age10_14,[10-14],4,21.05263158,,4.07083249
EU,Europe,EST,Estonia,2002,All,Age15_19,[15-19],14,14.73684211,,13.69795998
EU,Europe,EST,Estonia,2002,All,Age20_24,[20-24],24,13.95348837,,24.54866261
EU,Europe,EST,Estonia,2002,All,Age25_29,[25-29],27,16.66666667,,27.73925104
EU,Europe,EST,Estonia,2002,All,Age30_34,[30-34],32,14.22222222,,33.0698083
EU,Europe,EST,Estonia,2002,All,Age35_39,[35-39],32,10.92150171,,34.37348945
EU,Europe,EST,Estonia,2002,All,Age40_44,[40-44],33,6.37065637,,32.3894587
EU,Europe,EST,Estonia,2002,All,Age45_49,[45-49],34,4.39844761,,34.77905074
EU,Europe,EST,Estonia,2002,All,Age50_54,[50-54],46,4.61384152,,49.45970647
EU,Europe,EST,Estonia,2002,All,Age55_59,[55-59],28,2.85714286,,39.50059956
EU,Europe,EST,Estonia,2002,All,Age60_64,[60-64],25,1.5470297,,30.02462019
