Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
CSA,Central and South America,GUY,Guyana,1979,All,Age_all,[All],0,0,0,0
CSA,Central and South America,GUY,Guyana,1979,All,Age_unknown,[Unknown],0,0,,
CSA,Central and South America,GUY,Guyana,1979,All,Age00,[0],0,0,,0
CSA,Central and South America,GUY,Guyana,1979,All,Age01_04,[1-4],0,0,,0
CSA,Central and South America,GUY,Guyana,1979,All,Age05_09,[5-9],0,0,,0
CSA,Central and South America,GUY,Guyana,1979,All,Age10_14,[10-14],0,0,,0
CSA,Central and South America,GUY,Guyana,1979,All,Age15_19,[15-19],0,0,,0
CSA,Central and South America,GUY,Guyana,1979,All,Age20_24,[20-24],0,0,,0
CSA,Central and South America,GUY,Guyana,1979,All,Age25_29,[25-29],0,0,,0
CSA,Central and South America,GUY,Guyana,1979,All,Age30_34,[30-34],0,0,,0
CSA,Central and South America,GUY,Guyana,1979,All,Age35_39,[35-39],0,0,,0
CSA,Central and South America,GUY,Guyana,1979,All,Age40_44,[40-44],0,0,,0
CSA,Central and South America,GUY,Guyana,1979,All,Age45_49,[45-49],0,0,,0
CSA,Central and South America,GUY,Guyana,1979,All,Age50_54,[50-54],0,0,,0
CSA,Central and South America,GUY,Guyana,1979,All,Age55_59,[55-59],0,0,,0
CSA,Central and South America,GUY,Guyana,1979,All,Age60_64,[60-64],0,0,,0
CSA,Central and South America,GUY,Guyana,1979,All,Age65_69,[65-69],0,0,,0
CSA,Central and South America,GUY,Guyana,1979,All,Age70_74,[70-74],0,0,,0
CSA,Central and South America,GUY,Guyana,1979,All,Age75_79,[75-79],0,0,,0
CSA,Central and South America,GUY,Guyana,1979,All,Age80_84,[80-84],0,0,,0
CSA,Central and South America,GUY,Guyana,1979,All,Age85_over,[85+],0,0,,0
CSA,Central and South America,GUY,Guyana,1979,Male,Age_all,[All],0,0,0,0
CSA,Central and South America,GUY,Guyana,1979,Male,Age_unknown,[Unknown],0,0,,
CSA,Central and South America,GUY,Guyana,1979,Male,Age00,[0],0,0,,0
CSA,Central and South America,GUY,Guyana,1979,Male,Age01_04,[1-4],0,0,,0
CSA,Central and South America,GUY,Guyana,1979,Male,Age05_09,[5-9],0,0,,0
CSA,Central and South America,GUY,Guyana,1979,Male,Age10_14,[10-14],0,0,,0
CSA,Central and South America,GUY,Guyana,1979,Male,Age15_19,[15-19],0,0,,0
