Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
AS,Asia,JPN,Japan,2000,All,Age_all,[All],30256.00000000,3.14624922,18.18648583,24.08674930,
AS,Asia,JPN,Japan,2000,All,Age00,[0],0.00000000,0.00000000,,0.00000000,
AS,Asia,JPN,Japan,2000,All,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
AS,Asia,JPN,Japan,2000,All,Age05_09,[5-9],0.00000000,0.00000000,,0.00000000,
AS,Asia,JPN,Japan,2000,All,Age10_14,[10-14],74.00000000,9.94623656,,1.13721026,
AS,Asia,JPN,Japan,2000,All,Age15_19,[15-19],473.00000000,19.73299958,,6.36341561,
AS,Asia,JPN,Japan,2000,All,Age20_24,[20-24],1331.00000000,32.98636927,,16.03557078,
AS,Asia,JPN,Japan,2000,All,Age25_29,[25-29],1741.00000000,36.14282749,,18.08601735,
AS,Asia,JPN,Japan,2000,All,Age30_34,[30-34],1740.00000000,31.09363831,,20.21168605,
AS,Asia,JPN,Japan,2000,All,Age35_39,[35-39],1717.00000000,24.36843599,,21.52152008,
AS,Asia,JPN,Japan,2000,All,Age40_44,[40-44],1830.00000000,17.46349843,,23.74722981,
AS,Asia,JPN,Japan,2000,All,Age45_49,[45-49],2714.00000000,13.75152006,,30.68240310,
AS,Asia,JPN,Japan,2000,All,Age50_54,[50-54],3934.00000000,10.97564378,,37.85968262,
AS,Asia,JPN,Japan,2000,All,Age55_59,[55-59],3917.00000000,8.51669856,,45.03099574,
AS,Asia,JPN,Japan,2000,All,Age60_64,[60-64],2967.00000000,4.88958471,,38.47447600,
AS,Asia,JPN,Japan,2000,All,Age65_69,[65-69],2348.00000000,2.63648409,,33.10966448,
AS,Asia,JPN,Japan,2000,All,Age70_74,[70-74],1788.00000000,1.53439517,,30.35654681,
AS,Asia,JPN,Japan,2000,All,Age75_79,[75-79],1296.00000000,0.98931298,,31.30762227,
AS,Asia,JPN,Japan,2000,All,Age80_84,[80-84],1063.00000000,0.72283422,,40.73578875,
AS,Asia,JPN,Japan,2000,All,Age85_over,[85+],1056.00000000,0.38552528,,47.33787227,
AS,Asia,JPN,Japan,2001,All,Age_all,[All],29384.00000000,3.02824500,17.57966221,23.33767513,
AS,Asia,JPN,Japan,2001,All,Age00,[0],0.00000000,0.00000000,,0.00000000,
AS,Asia,JPN,Japan,2001,All,Age01_04,[1-4],0.00000000,0.00000000,,0.00000000,
AS,Asia,JPN,Japan,2001,All,Age05_09,[5-9],1.00000000,0.14104372,,0.01680108,
AS,Asia,JPN,Japan,2001,All,Age10_14,[10-14],60.00000000,9.21658986,,0.94741829,
AS,Asia,JPN,Japan,2001,All,Age15_19,[15-19],481.00000000,20.79550367,,6.61077515,
AS,Asia,JPN,Japan,2001,All,Age20_24,[20-24],1187.00000000,32.37861429,,14.76368159,
AS,Asia,JPN,Japan,2001,All,Age25_29,[25-29],1702.00000000,36.12054329,,17.89318755,
AS,Asia,JPN,Japan,2001,All,Age30_34,[30-34],1699.00000000,30.19907572,,18.60490583,
AS,Asia,JPN,Japan,2001,All,Age35_39,[35-39],1689.00000000,23.91335127,,21.51044320,
AS,Asia,JPN,Japan,2001,All,Age40_44,[40-44],1920.00000000,18.86051081,,25.12102578,
AS,Asia,JPN,Japan,2001,All,Age45_49,[45-49],2447.00000000,13.34533159,,28.99976298,
