Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
AS,Asia,KAZ,Kazakhstan,2000,All,Age00,[0],0,0,,0
AS,Asia,KAZ,Kazakhstan,2000,All,Age01_04,[1-4],0,0,,0
AS,Asia,KAZ,Kazakhstan,2000,All,Age05_09,[5-9],3,0.43668122,,0.21193236
AS,Asia,KAZ,Kazakhstan,2000,All,Age10_14,[10-14],62,8.2777036,,3.88889307
AS,Asia,KAZ,Kazakhstan,2000,All,Age15_19,[15-19],327,18.67504283,,22.75795833
AS,Asia,KAZ,Kazakhstan,2000,All,Age20_24,[20-24],465,15.59879235,,35.62243892
AS,Asia,KAZ,Kazakhstan,2000,All,Age25_29,[25-29],538,14.15789474,,46.02306799
AS,Asia,KAZ,Kazakhstan,2000,All,Age30_34,[30-34],436,10.39084843,,41.39399009
AS,Asia,KAZ,Kazakhstan,2000,All,Age35_39,[35-39],517,9.11977421,,44.77973912
AS,Asia,KAZ,Kazakhstan,2000,All,Age40_44,[40-44],517,7.01968771,,47.96118576
AS,Asia,KAZ,Kazakhstan,2000,All,Age45_49,[45-49],379,4.49478178,,43.22812588
AS,Asia,KAZ,Kazakhstan,2000,All,Age50_54,[50-54],348,3.83133326,,53.30939517
AS,Asia,KAZ,Kazakhstan,2000,All,Age55_59,[55-59],192,2.23880597,,45.39050015
AS,Asia,KAZ,Kazakhstan,2000,All,Age60_64,[60-64],293,1.61201585,,47.74366378
AS,Asia,KAZ,Kazakhstan,2000,All,Age65_69,[65-69],126,0.90012859,,38.41393145
AS,Asia,KAZ,Kazakhstan,2000,All,Age70_74,[70-74],122,0.60781188,,35.98862524
AS,Asia,KAZ,Kazakhstan,2000,All,Age75_79,[75-79],46,0.32915921,,26.39733731
AS,Asia,KAZ,Kazakhstan,2000,All,Age80_84,[80-84],32,0.32918424,,39.75204661
AS,Asia,KAZ,Kazakhstan,2000,All,Age85_over,[85+],25,0.1841892,,32.20819376
AS,Asia,KAZ,Kazakhstan,2001,All,Age00,[0],0,0,,0
AS,Asia,KAZ,Kazakhstan,2001,All,Age01_04,[1-4],0,0,,0
AS,Asia,KAZ,Kazakhstan,2001,All,Age05_09,[5-9],6,0.93167702,,0.43837762
AS,Asia,KAZ,Kazakhstan,2001,All,Age10_14,[10-14],79,10.11523688,,4.95083321
AS,Asia,KAZ,Kazakhstan,2001,All,Age15_19,[15-19],289,17.76275353,,20.00361311
AS,Asia,KAZ,Kazakhstan,2001,All,Age20_24,[20-24],529,17.75167785,,42.07003667
AS,Asia,KAZ,Kazakhstan,2001,All,Age25_29,[25-29],504,14.13348289,,43.03326454
AS,Asia,KAZ,Kazakhstan,2001,All,Age30_34,[30-34],449,11.07001972,,41.41860092
AS,Asia,KAZ,Kazakhstan,2001,All,Age35_39,[35-39],507,9.128556,,44.44199005
AS,Asia,KAZ,Kazakhstan,2001,All,Age40_44,[40-44],494,6.47274633,,45.07500792
AS,Asia,KAZ,Kazakhstan,2001,All,Age45_49,[45-49],382,4.32567093,,43.39814274
AS,Asia,KAZ,Kazakhstan,2001,All,Age50_54,[50-54],333,3.25354177,,48.36032362
AS,Asia,KAZ,Kazakhstan,2001,All,Age55_59,[55-59],168,2.25654802,,42.93512707
AS,Asia,KAZ,Kazakhstan,2001,All,Age60_64,[60-64],248,1.40821078,,38.46374559
AS,Asia,KAZ,Kazakhstan,2001,All,Age65_69,[65-69],172,1.19510839,,50.13860994
AS,Asia,KAZ,Kazakhstan,2001,All,Age70_74,[70-74],113,0.59131345,,32.2096994
AS,Asia,KAZ,Kazakhstan,2001,All,Age75_79,[75-79],59,0.40070633,,32.93623768
AS,Asia,KAZ,Kazakhstan,2001,All,Age80_84,[80-84],17,0.18297277,,22.08021613
