Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
EU,Europe,LVA,Latvia,2000,All,Age00,[0],0,0,,0
EU,Europe,LVA,Latvia,2000,All,Age01_04,[1-4],0,0,,0
EU,Europe,LVA,Latvia,2000,All,Age05_09,[5-9],1,1.81818182,,0.72370945
EU,Europe,LVA,Latvia,2000,All,Age10_14,[10-14],5,8.47457627,,2.70578876
EU,Europe,LVA,Latvia,2000,All,Age15_19,[15-19],24,16.55172414,,13.38837443
EU,Europe,LVA,Latvia,2000,All,Age20_24,[20-24],37,14.28571429,,23.00065272
EU,Europe,LVA,Latvia,2000,All,Age25_29,[25-29],46,15.03267974,,28.02332028
EU,Europe,LVA,Latvia,2000,All,Age30_34,[30-34],52,13.36760925,,32.60004138
EU,Europe,LVA,Latvia,2000,All,Age35_39,[35-39],64,10.82910321,,36.9491545
EU,Europe,LVA,Latvia,2000,All,Age40_44,[40-44],88,9.29250264,,50.06799006
EU,Europe,LVA,Latvia,2000,All,Age45_49,[45-49],78,6.81222707,,50.10116582
EU,Europe,LVA,Latvia,2000,All,Age50_54,[50-54],74,4.57920792,,52.18728182
EU,Europe,LVA,Latvia,2000,All,Age55_59,[55-59],77,3.73967946,,55.91663338
EU,Europe,LVA,Latvia,2000,All,Age60_64,[60-64],63,2.07305035,,42.86297455
EU,Europe,LVA,Latvia,2000,All,Age65_69,[65-69],52,1.46149522,,43.51282373
EU,Europe,LVA,Latvia,2000,All,Age70_74,[70-74],41,0.95415406,,38.56428007
EU,Europe,LVA,Latvia,2000,All,Age75_79,[75-79],23,0.53851557,,33.53160719
EU,Europe,LVA,Latvia,2000,All,Age80_84,[80-84],24,0.75805433,,77.80587434
EU,Europe,LVA,Latvia,2000,All,Age85_over,[85+],21,0.34716482,,72.51381216
EU,Europe,LVA,Latvia,2001,All,Age00,[0],0,0,,0
EU,Europe,LVA,Latvia,2001,All,Age01_04,[1-4],0,0,,0
EU,Europe,LVA,Latvia,2001,All,Age05_09,[5-9],0,0,,0
EU,Europe,LVA,Latvia,2001,All,Age10_14,[10-14],3,5.66037736,,1.6769051
EU,Europe,LVA,Latvia,2001,All,Age15_19,[15-19],22,13.75,,12.09688505
EU,Europe,LVA,Latvia,2001,All,Age20_24,[20-24],28,12.5,,17.52190238
EU,Europe,LVA,Latvia,2001,All,Age25_29,[25-29],43,13.96103896,,26.65592164
EU,Europe,LVA,Latvia,2001,All,Age30_34,[30-34],55,12.82051282,,34.48470447
EU,Europe,LVA,Latvia,2001,All,Age35_39,[35-39],60,9.50871632,,36.1002142
EU,Europe,LVA,Latvia,2001,All,Age40_44,[40-44],77,7.88126919,,43.64485558
EU,Europe,LVA,Latvia,2001,All,Age45_49,[45-49],78,6.11764706,,50.05101353
EU,Europe,LVA,Latvia,2001,All,Age50_54,[50-54],79,4.57440649,,54.42945529
EU,Europe,LVA,Latvia,2001,All,Age55_59,[55-59],72,3.42693955,,55.95840425
EU,Europe,LVA,Latvia,2001,All,Age60_64,[60-64],64,2.07321024,,43.36719137
EU,Europe,LVA,Latvia,2001,All,Age65_69,[65-69],42,1.18912797,,35.62038843
EU,Europe,LVA,Latvia,2001,All,Age70_74,[70-74],34,0.75204601,,31.87788893
EU,Europe,LVA,Latvia,2001,All,Age75_79,[75-79],27,0.59145674,,37.46045841
EU,Europe,LVA,Latvia,2001,All,Age80_84,[80-84],10,0.29726516,,30.81664099
EU,Europe,LVA,Latvia,2001,All,Age85_over,[85+],14,0.24462694,,51.02970658
EU,Europe,LVA,Latvia,2002,All,Age00,[0],0,0,,0
EU,Europe,LVA,Latvia,2002,All,Age01_04,[1-4],0,0,,0
EU,Europe,LVA,Latvia,2002,All,Age05_09,[5-9],0,0,,0
EU,Europe,LVA,Latvia,2002,All,Age10_14,[10-14],4,10.52631579,,2.33974228
EU,Europe,LVA,Latvia,2002,All,Age15_19,[15-19],20,13.24503311,,10.83711278
EU,Europe,LVA,Latvia,2002,All,Age20_24,[20-24],40,16.06425703,,24.93967716
EU,Europe,LVA,Latvia,2002,All,Age25_29,[25-29],44,15.94202899,,27.83347988
EU,Europe,LVA,Latvia,2002,All,Age30_34,[30-34],41,9.60187354,,25.78859641
EU,Europe,LVA,Latvia,2002,All,Age35_39,[35-39],63,10.60606061,,39.3258427
EU,Europe,LVA,Latvia,2002,All,Age40_44,[40-44],77,8.38779956,,43.77412551
EU,Europe,LVA,Latvia,2002,All,Age45_49,[45-49],46,3.77358491,,29.29040803
EU,Europe,LVA,Latvia,2002,All,Age50_54,[50-54],86,5.11600238,,58.63143327
EU,Europe,LVA,Latvia,2002,All,Age55_59,[55-59],77,3.93258427,,62.53553155
EU,Europe,LVA,Latvia,2002,All,Age60_64,[60-64],65,2.07006369,,44.66218213
