Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
AS,Asia,KOR,Republic of Korea,1985,All,Age_all,[All],3689,1.84392838,9.88242589,9.1267377
AS,Asia,KOR,Republic of Korea,1985,All,Age_unknown,[Unknown],0,,,
AS,Asia,KOR,Republic of Korea,1985,All,Age00,[0],0,0,,0
AS,Asia,KOR,Republic of Korea,1985,All,Age01_04,[1-4],0,0,,0
AS,Asia,KOR,Republic of Korea,1985,All,Age05_09,[5-9],0,0,,0
AS,Asia,KOR,Republic of Korea,1985,All,Age10_14,[10-14],33,1.43104944,,0.73726542
AS,Asia,KOR,Republic of Korea,1985,All,Age15_19,[15-19],334,7.33421168,,7.73828831
AS,Asia,KOR,Republic of Korea,1985,All,Age20_24,[20-24],640,11.72590693,,15.07620551
AS,Asia,KOR,Republic of Korea,1985,All,Age25_29,[25-29],547,8.8468381,,13.4384827
AS,Asia,KOR,Republic of Korea,1985,All,Age30_34,[30-34],336,6.0193479,,10.78582435
AS,Asia,KOR,Republic of Korea,1985,All,Age35_39,[35-39],299,4.59152334,,11.58375949
AS,Asia,KOR,Republic of Korea,1985,All,Age40_44,[40-44],303,3.06277166,,13.85142857
AS,Asia,KOR,Republic of Korea,1985,All,Age45_49,[45-49],328,2.41674035,,15.69978939
AS,Asia,KOR,Republic of Korea,1985,All,Age50_54,[50-54],235,1.59646739,,13.86267107
AS,Asia,KOR,Republic of Korea,1985,All,Age55_59,[55-59],181,1.1521324,,14.2766998
AS,Asia,KOR,Republic of Korea,1985,All,Age60_64,[60-64],145,0.78514187,,14.40063561
AS,Asia,KOR,Republic of Korea,1985,All,Age65_69,[65-69],145,0.7611149,,20.06087438
AS,Asia,KOR,Republic of Korea,1985,All,Age70_74,[70-74],83,0.39353279,,16.55695193
AS,Asia,KOR,Republic of Korea,1985,All,Age75_79,[75-79],48,0.24413814,,15.379686
AS,Asia,KOR,Republic of Korea,1985,All,Age80_84,[80-84],22,0.17009433,,15.97676108
AS,Asia,KOR,Republic of Korea,1985,All,Age85_over,[85+],10,0.06740361,,13.21003963
AS,Asia,KOR,Republic of Korea,1985,Male,Age_all,[All],2691,2.2633416,15.14926056,13.30360498
AS,Asia,KOR,Republic of Korea,1985,Male,Age_unknown,[Unknown],0,,,
AS,Asia,KOR,Republic of Korea,1985,Male,Age00,[0],0,0,,0
AS,Asia,KOR,Republic of Korea,1985,Male,Age01_04,[1-4],0,0,,0
AS,Asia,KOR,Republic of Korea,1985,Male,Age05_09,[5-9],0,0,,0
AS,Asia,KOR,Republic of Korea,1985,Male,Age10_14,[10-14],20,1.47383935,,0.86557604
AS,Asia,KOR,Republic of Korea,1985,Male,Age15_19,[15-19],230,7.804547,,10.32640417
AS,Asia,KOR,Republic of Korea,1985,Male,Age20_24,[20-24],448,12.36203091,,20.49686599
AS,Asia,KOR,Republic of Korea,1985,Male,Age25_29,[25-29],402,9.40791013,,19.83030781
AS,Asia,KOR,Republic of Korea,1985,Male,Age30_34,[30-34],253,6.41969043,,15.9159537
AS,Asia,KOR,Republic of Korea,1985,Male,Age35_39,[35-39],220,4.73321859,,16.61129568
AS,Asia,KOR,Republic of Korea,1985,Male,Age40_44,[40-44],236,3.28233658,,21.28619104
AS,Asia,KOR,Republic of Korea,1985,Male,Age45_49,[45-49],263,2.67303588,,25.21572387
AS,Asia,KOR,Republic of Korea,1985,Male,Age50_54,[50-54],184,1.80144899,,22.72727273
AS,Asia,KOR,Republic of Korea,1985,Male,Age55_59,[55-59],134,1.27062393,,23.90296111
AS,Asia,KOR,Republic of Korea,1985,Male,Age60_64,[60-64],112,0.90308015,,25.43142598
AS,Asia,KOR,Republic of Korea,1985,Male,Age65_69,[65-69],104,0.87519987,,33.90935768
AS,Asia,KOR,Republic of Korea,1985,Male,Age70_74,[70-74],43,0.36490156,,22.56033578
AS,Asia,KOR,Republic of Korea,1985,Male,Age75_79,[75-79],26,0.27316663,,25.12077295
AS,Asia,KOR,Republic of Korea,1985,Male,Age80_84,[80-84],11,0.21513788,,30.38674033
AS,Asia,KOR,Republic of Korea,1985,Male,Age85_over,[85+],5,0.11475786,,33.11258278
AS,Asia,KOR,Republic of Korea,1985,Female,Age_all,[All],998,1.22956374,5.1640267,4.94252703
AS,Asia,KOR,Republic of Korea,1985,Female,Age_unknown,[Unknown],0,,,
AS,Asia,KOR,Republic of Korea,1985,Female,Age00,[0],0,0,,0
AS,Asia,KOR,Republic of Korea,1985,Female,Age01_04,[1-4],0,0,,0
AS,Asia,KOR,Republic of Korea,1985,Female,Age05_09,[5-9],0,0,,0
AS,Asia,KOR,Republic of Korea,1985,Female,Age10_14,[10-14],13,1.36986301,,0.60035097
AS,Asia,KOR,Republic of Korea,1985,Female,Age15_19,[15-19],104,6.47168637,,4.97869692
AS,Asia,KOR,Republic of Korea,1985,Female,Age20_24,[20-24],192,10.46892039,,9.32310382
AS,Asia,KOR,Republic of Korea,1985,Female,Age25_29,[25-29],145,7.59162304,,7.09671104
AS,Asia,KOR,Republic of Korea,1985,Female,Age30_34,[30-34],83,5.05789153,,5.44048243
AS,Asia,KOR,Republic of Korea,1985,Female,Age35_39,[35-39],79,4.23819742,,6.28580522
AS,Asia,KOR,Republic of Korea,1985,Female,Age40_44,[40-44],67,2.47872734,,6.21060438
AS,Asia,KOR,Republic of Korea,1985,Female,Age45_49,[45-49],65,1.7412269,,6.21296119
AS,Asia,KOR,Republic of Korea,1985,Female,Age50_54,[50-54],51,1.13182423,,5.75880759
AS,Asia,KOR,Republic of Korea,1985,Female,Age55_59,[55-59],47,0.91014717,,6.6459276
AS,Asia,KOR,Republic of Korea,1985,Female,Age60_64,[60-64],33,0.54401583,,5.82524272
AS,Asia,KOR,Republic of Korea,1985,Female,Age65_69,[65-69],41,0.57198661,,9.85340062
AS,Asia,KOR,Republic of Korea,1985,Female,Age70_74,[70-74],40,0.42978403,,12.87415513
AS,Asia,KOR,Republic of Korea,1985,Female,Age75_79,[75-79],22,0.21689835,,10.54650048
AS,Asia,KOR,Republic of Korea,1985,Female,Age80_84,[80-84],11,0.14064698,,10.83743842
AS,Asia,KOR,Republic of Korea,1985,Female,Age85_over,[85+],5,0.04771448,,8.25082508
AS,Asia,KOR,Republic of Korea,1986,All,Age_all,[All],3458,1.80308892,9.03289303,8.31875907
AS,Asia,KOR,Republic of Korea,1986,All,Age00,[0],0,0,,0
AS,Asia,KOR,Republic of Korea,1986,All,Age01_04,[1-4],0,0,,0
AS,Asia,KOR,Republic of Korea,1986,All,Age05_09,[5-9],0,0,,0
AS,Asia,KOR,Republic of Korea,1986,All,Age10_14,[10-14],26,1.28904313,,0.59790732
AS,Asia,KOR,Republic of Korea,1986,All,Age15_19,[15-19],313,7.49700599,,6.96050525
AS,Asia,KOR,Republic of Korea,1986,All,Age20_24,[20-24],540,11.40684411,,12.71425881
AS,Asia,KOR,Republic of Korea,1986,All,Age25_29,[25-29],541,8.8470973,,13.00168229
AS,Asia,KOR,Republic of Korea,1986,All,Age30_34,[30-34],380,6.3973064,,11.41792614
AS,Asia,KOR,Republic of Korea,1986,All,Age35_39,[35-39],267,3.99940084,,10.15749829
AS,Asia,KOR,Republic of Korea,1986,All,Age40_44,[40-44],281,3.07338948,,12.4198895
AS,Asia,KOR,Republic of Korea,1986,All,Age45_49,[45-49],273,2.06912233,,12.58180478
AS,Asia,KOR,Republic of Korea,1986,All,Age50_54,[50-54],242,1.62710953,,13.65380275
AS,Asia,KOR,Republic of Korea,1986,All,Age55_59,[55-59],166,1.10770052,,12.67369064
AS,Asia,KOR,Republic of Korea,1986,All,Age60_64,[60-64],146,0.84393064,,14.10355487
AS,Asia,KOR,Republic of Korea,1986,All,Age65_69,[65-69],99,0.50876201,,13.44925961
AS,Asia,KOR,Republic of Korea,1986,All,Age70_74,[70-74],95,0.4811101,,18.47170912
AS,Asia,KOR,Republic of Korea,1986,All,Age75_79,[75-79],55,0.29635217,,17.1875
AS,Asia,KOR,Republic of Korea,1986,All,Age80_84,[80-84],20,0.16048788,,14.18439716
AS,Asia,KOR,Republic of Korea,1986,All,Age85_over,[85+],14,0.10268447,,18.06451613
AS,Asia,KOR,Republic of Korea,1986,All,Age_unknown,[Unknown],0,,,
AS,Asia,KOR,Republic of Korea,1986,Male,Age_unknown,[Unknown],0,,,
AS,Asia,KOR,Republic of Korea,1986,Male,Age_all,[All],2568,2.23784999,14.10982416,12.25167459
AS,Asia,KOR,Republic of Korea,1986,Male,Age00,[0],0,0,,0
AS,Asia,KOR,Republic of Korea,1986,Male,Age01_04,[1-4],0,0,,0
AS,Asia,KOR,Republic of Korea,1986,Male,Age05_09,[5-9],0,0,,0
AS,Asia,KOR,Republic of Korea,1986,Male,Age10_14,[10-14],18,1.53714774,,0.80203181
AS,Asia,KOR,Republic of Korea,1986,Male,Age15_19,[15-19],217,7.9110463,,9.3679848
AS,Asia,KOR,Republic of Korea,1986,Male,Age20_24,[20-24],399,12.49217282,,18.27592525
AS,Asia,KOR,Republic of Korea,1986,Male,Age25_29,[25-29],394,9.25099789,,18.77263198
AS,Asia,KOR,Republic of Korea,1986,Male,Age30_34,[30-34],277,6.6827503,,15.97646787
AS,Asia,KOR,Republic of Korea,1986,Male,Age35_39,[35-39],194,4.03410272,,14.15025529
AS,Asia,KOR,Republic of Korea,1986,Male,Age40_44,[40-44],228,3.43995172,,19.49717804
AS,Asia,KOR,Republic of Korea,1986,Male,Age45_49,[45-49],219,2.25912936,,19.87476178
AS,Asia,KOR,Republic of Korea,1986,Male,Age50_54,[50-54],186,1.77227251,,21.49791956
AS,Asia,KOR,Republic of Korea,1986,Male,Age55_59,[55-59],121,1.2106053,,20.56773755
AS,Asia,KOR,Republic of Korea,1986,Male,Age60_64,[60-64],119,1.02825542,,26.067908
AS,Asia,KOR,Republic of Korea,1986,Male,Age65_69,[65-69],76,0.62541145,,24.45302445
AS,Asia,KOR,Republic of Korea,1986,Male,Age70_74,[70-74],61,0.55208616,,30.51525763
AS,Asia,KOR,Republic of Korea,1986,Male,Age75_79,[75-79],40,0.44291884,,37.27865797
