Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
EU,Europe,RUS,Russian Federation,1980,All,Age_all,[All],47927,3.14119895,32.57916495,34.60860511
EU,Europe,RUS,Russian Federation,1980,All,Age_unknown,[Unknown],50,4.048583,,
EU,Europe,RUS,Russian Federation,1980,All,Age00,[0],0,0,,0
EU,Europe,RUS,Russian Federation,1980,All,Age01_04,[1-4],0,0,,0
EU,Europe,RUS,Russian Federation,1980,All,Age05_09,[5-9],2,0.03118179,,0.01987025
EU,Europe,RUS,Russian Federation,1980,All,Age10_14,[10-14],201,4.12731006,,2.17257369
EU,Europe,RUS,Russian Federation,1980,All,Age15_19,[15-19],1639,11.67378917,,14.25750498
EU,Europe,RUS,Russian Federation,1980,All,Age20_24,[20-24],4137,15.74141014,,31.80937442
EU,Europe,RUS,Russian Federation,1980,All,Age25_29,[25-29],5228,15.95897311,,42.88163259
EU,Europe,RUS,Russian Federation,1980,All,Age30_34,[30-34],4651,13.55739521,,46.3630292
EU,Europe,RUS,Russian Federation,1980,All,Age35_39,[35-39],3657,11.37940691,,56.79717956
EU,Europe,RUS,Russian Federation,1980,All,Age40_44,[40-44],6286,8.93583146,,55.63373426
EU,Europe,RUS,Russian Federation,1980,All,Age45_49,[45-49],5323,7.0076356,,61.99988353
EU,Europe,RUS,Russian Federation,1980,All,Age50_54,[50-54],6203,5.19366345,,60.67512447
EU,Europe,RUS,Russian Federation,1980,All,Age55_59,[55-59],2793,2.88509214,,42.70772807
EU,Europe,RUS,Russian Federation,1980,All,Age60_64,[60-64],1782,1.83459792,,39.14848745
EU,Europe,RUS,Russian Federation,1980,All,Age65_69,[65-69],2234,1.31560351,,40.414639
EU,Europe,RUS,Russian Federation,1980,All,Age70_74,[70-74],1692,0.86033752,,41.05799563
EU,Europe,RUS,Russian Federation,1980,All,Age75_79,[75-79],1111,0.5790047,,42.67168536
EU,Europe,RUS,Russian Federation,1980,All,Age80_84,[80-84],566,0.37760269,,47.54304914
EU,Europe,RUS,Russian Federation,1980,All,Age85_over,[85+],372,0.25754817,,53.31040413
EU,Europe,RUS,Russian Federation,1980,Male,Age_all,[All],37773,4.97174085,58.22205045,59.19317507
EU,Europe,RUS,Russian Federation,1980,Male,Age_unknown,[Unknown],45,5.14285714,,
EU,Europe,RUS,Russian Federation,1980,Male,Age00,[0],0,0,,0
EU,Europe,RUS,Russian Federation,1980,Male,Age01_04,[1-4],0,0,,0
EU,Europe,RUS,Russian Federation,1980,Male,Age05_09,[5-9],2,0.04918839,,0.03912669
EU,Europe,RUS,Russian Federation,1980,Male,Age10_14,[10-14],162,5.10396975,,3.4486429
EU,Europe,RUS,Russian Federation,1980,Male,Age15_19,[15-19],1312,12.32156273,,22.41700412
EU,Europe,RUS,Russian Federation,1980,Male,Age20_24,[20-24],3595,16.75678195,,53.93929391
EU,Europe,RUS,Russian Federation,1980,Male,Age25_29,[25-29],4619,17.24923445,,74.87073088
EU,Europe,RUS,Russian Federation,1980,Male,Age30_34,[30-34],4057,14.7645389,,80.478467
EU,Europe,RUS,Russian Federation,1980,Male,Age35_39,[35-39],3117,12.44112717,,98.7955626
