Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
EU,Europe,SVN,Slovenia,2000,All,Age00,[0],0,0,,0
EU,Europe,SVN,Slovenia,2000,All,Age01_04,[1-4],0,0,,0
EU,Europe,SVN,Slovenia,2000,All,Age05_09,[5-9],0,0,,0
EU,Europe,SVN,Slovenia,2000,All,Age10_14,[10-14],1,6.66666667,,0.82163868
EU,Europe,SVN,Slovenia,2000,All,Age15_19,[15-19],17,22.97297297,,12.253312
EU,Europe,SVN,Slovenia,2000,All,Age20_24,[20-24],29,24.16666667,,19.33616931
EU,Europe,SVN,Slovenia,2000,All,Age25_29,[25-29],33,32.67326733,,23.23780016
EU,Europe,SVN,Slovenia,2000,All,Age30_34,[30-34],31,22.96296296,,21.28185413
EU,Europe,SVN,Slovenia,2000,All,Age35_39,[35-39],47,20.79646018,,31.0815726
EU,Europe,SVN,Slovenia,2000,All,Age40_44,[40-44],57,15.74585635,,37.07606447
EU,Europe,SVN,Slovenia,2000,All,Age45_49,[45-49],64,9.75609756,,40.43211826
EU,Europe,SVN,Slovenia,2000,All,Age50_54,[50-54],60,7.85340314,,46.42345932
EU,Europe,SVN,Slovenia,2000,All,Age55_59,[55-59],47,4.73790323,,42.24946963
EU,Europe,SVN,Slovenia,2000,All,Age60_64,[60-64],45,3.20741269,,43.09354172
EU,Europe,SVN,Slovenia,2000,All,Age65_69,[65-69],55,2.67639903,,56.36285381
EU,Europe,SVN,Slovenia,2000,All,Age70_74,[70-74],47,1.78639301,,58.91643894
EU,Europe,SVN,Slovenia,2000,All,Age75_79,[75-79],24,0.84447572,,42.93841915
EU,Europe,SVN,Slovenia,2000,All,Age80_84,[80-84],14,0.7470651,,63.67398918
EU,Europe,SVN,Slovenia,2000,All,Age85_over,[85+],17,0.4028436,,72.25433526
EU,Europe,SVN,Slovenia,2001,All,Age00,[0],0,0,,0
EU,Europe,SVN,Slovenia,2001,All,Age01_04,[1-4],0,0,,0
EU,Europe,SVN,Slovenia,2001,All,Age05_09,[5-9],0,0,,0
EU,Europe,SVN,Slovenia,2001,All,Age10_14,[10-14],2,12.5,,1.66190255
EU,Europe,SVN,Slovenia,2001,All,Age15_19,[15-19],13,14.94252874,,9.68385924
EU,Europe,SVN,Slovenia,2001,All,Age20_24,[20-24],33,29.20353982,,21.79224724
EU,Europe,SVN,Slovenia,2001,All,Age25_29,[25-29],31,26.05042017,,20.95684917
EU,Europe,SVN,Slovenia,2001,All,Age30_34,[30-34],40,27.77777778,,27.50161572
EU,Europe,SVN,Slovenia,2001,All,Age35_39,[35-39],35,15.76576577,,22.42066288
EU,Europe,SVN,Slovenia,2001,All,Age40_44,[40-44],56,16.27906977,,36.00869353
EU,Europe,SVN,Slovenia,2001,All,Age45_49,[45-49],59,9.20436817,,36.93247617
EU,Europe,SVN,Slovenia,2001,All,Age50_54,[50-54],67,7.91027155,,48.43000058
EU,Europe,SVN,Slovenia,2001,All,Age55_59,[55-59],46,4.6277666,,44.04442742
EU,Europe,SVN,Slovenia,2001,All,Age60_64,[60-64],49,3.53025937,,47.18934484
EU,Europe,SVN,Slovenia,2001,All,Age65_69,[65-69],44,2.236909,,45.95588235
EU,Europe,SVN,Slovenia,2001,All,Age70_74,[70-74],38,1.46604938,,46.09077457
EU,Europe,SVN,Slovenia,2001,All,Age75_79,[75-79],41,1.45132743,,70.11903133
EU,Europe,SVN,Slovenia,2001,All,Age80_84,[80-84],14,0.66287879,,54.22573398
EU,Europe,SVN,Slovenia,2001,All,Age85_over,[85+],13,0.325,,58.03571429
EU,Europe,SVN,Slovenia,2002,All,Age00,[0],0,0,,0
EU,Europe,SVN,Slovenia,2002,All,Age01_04,[1-4],0,0,,0
EU,Europe,SVN,Slovenia,2002,All,Age05_09,[5-9],0,0,,0
EU,Europe,SVN,Slovenia,2002,All,Age10_14,[10-14],1,6.66666667,,0.86529892
EU,Europe,SVN,Slovenia,2002,All,Age15_19,[15-19],10,14.08450704,,7.62986022
EU,Europe,SVN,Slovenia,2002,All,Age20_24,[20-24],18,15.78947368,,11.97047283
EU,Europe,SVN,Slovenia,2002,All,Age25_29,[25-29],29,27.10280374,,19.39021129
EU,Europe,SVN,Slovenia,2002,All,Age30_34,[30-34],25,18.11594203,,17.42281692
EU,Europe,SVN,Slovenia,2002,All,Age35_39,[35-39],41,19.24882629,,26.24739127
EU,Europe,SVN,Slovenia,2002,All,Age40_44,[40-44],53,16.25766871,,34.28490106
EU,Europe,SVN,Slovenia,2002,All,Age45_49,[45-49],65,11.05442177,,40.26413271
EU,Europe,SVN,Slovenia,2002,All,Age50_54,[50-54],74,8.57473928,,51.84868592
EU,Europe,SVN,Slovenia,2002,All,Age55_59,[55-59],53,5.7112069,,49.59992513
EU,Europe,SVN,Slovenia,2002,All,Age60_64,[60-64],45,3.22118826,,43.03131724
EU,Europe,SVN,Slovenia,2002,All,Age65_69,[65-69],37,1.98924731,,38.59231909
