Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
AF,Africa,ZAF,South Africa,2000,All,Age_all,[All],267,0.06453391,0.66045749,0.59375942
AF,Africa,ZAF,South Africa,2000,All,Age00,[0],0,0,,0
AF,Africa,ZAF,South Africa,2000,All,Age01_04,[1-4],0,0,,0
AF,Africa,ZAF,South Africa,2000,All,Age05_09,[5-9],0,0,,0
AF,Africa,ZAF,South Africa,2000,All,Age10_14,[10-14],6,0.19614253,,0.11277225
AF,Africa,ZAF,South Africa,2000,All,Age15_19,[15-19],22,0.2823771,,0.43963572
AF,Africa,ZAF,South Africa,2000,All,Age20_24,[20-24],37,0.19878579,,0.85951785
AF,Africa,ZAF,South Africa,2000,All,Age25_29,[25-29],44,0.14404033,,1.14316773
AF,Africa,ZAF,South Africa,2000,All,Age30_34,[30-34],28,0.0821283,,0.84168379
AF,Africa,ZAF,South Africa,2000,All,Age35_39,[35-39],41,0.12826529,,1.43275738
AF,Africa,ZAF,South Africa,2000,All,Age40_44,[40-44],30,0.10718497,,1.23852404
AF,Africa,ZAF,South Africa,2000,All,Age45_49,[45-49],16,0.06261006,,0.79054274
AF,Africa,ZAF,South Africa,2000,All,Age50_54,[50-54],10,0.04116582,,0.65071504
AF,Africa,ZAF,South Africa,2000,All,Age55_59,[55-59],10,0.04402377,,0.76311703
AF,Africa,ZAF,South Africa,2000,All,Age60_64,[60-64],8,0.03146386,,0.7478243
AF,Africa,ZAF,South Africa,2000,All,Age65_69,[65-69],5,0.02033678,,0.59249218
AF,Africa,ZAF,South Africa,2000,All,Age70_74,[70-74],5,0.01837897,,0.8324052
AF,Africa,ZAF,South Africa,2000,All,Age75_79,[75-79],3,0.01372119,,0.83229297
AF,Africa,ZAF,South Africa,2000,All,Age80_84,[80-84],2,0.00948947,,1.15709269
AF,Africa,ZAF,South Africa,2000,All,Age85_over,[85+],0,0,,0
AF,Africa,ZAF,South Africa,2001,All,Age_all,[All],385,0.08500848,0.89184951,0.84483045
AF,Africa,ZAF,South Africa,2001,All,Age00,[0],0,0,,0
AF,Africa,ZAF,South Africa,2001,All,Age01_04,[1-4],0,0,,0
AF,Africa,ZAF,South Africa,2001,All,Age05_09,[5-9],0,0,,0
AF,Africa,ZAF,South Africa,2001,All,Age10_14,[10-14],7,0.21779714,,0.13181751
AF,Africa,ZAF,South Africa,2001,All,Age15_19,[15-19],44,0.52356021,,0.86042701
AF,Africa,ZAF,South Africa,2001,All,Age20_24,[20-24],69,0.34866094,,1.5573631
