Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
CSA,Central and South America,SUR,Suriname,1963,All,Age50_54,[50-54],1,0.76335878,,10.77237962
CSA,Central and South America,SUR,Suriname,1963,All,Age_unknown,[Unknown],0,0,,
CSA,Central and South America,SUR,Suriname,1963,All,Age55_59,[55-59],0,0,,0
CSA,Central and South America,SUR,Suriname,1963,All,Age_all,[All],13,0.54166667,5.59386095,4.16737459
CSA,Central and South America,SUR,Suriname,1963,All,Age00,[0],0,0,,0
CSA,Central and South America,SUR,Suriname,1963,All,Age01_04,[1-4],0,0,,0
CSA,Central and South America,SUR,Suriname,1963,All,Age05_09,[5-9],0,0,,0
CSA,Central and South America,SUR,Suriname,1963,All,Age10_14,[10-14],0,0,,0
CSA,Central and South America,SUR,Suriname,1963,All,Age15_19,[15-19],4,11.11111111,,14.32203086
CSA,Central and South America,SUR,Suriname,1963,All,Age20_24,[20-24],2,6.66666667,,9.09049589
CSA,Central and South America,SUR,Suriname,1963,All,Age25_29,[25-29],0,0,,0
CSA,Central and South America,SUR,Suriname,1963,All,Age30_34,[30-34],2,3.92156863,,10.87665869
CSA,Central and South America,SUR,Suriname,1963,All,Age35_39,[35-39],1,1.78571429,,6.42921435
CSA,Central and South America,SUR,Suriname,1963,All,Age40_44,[40-44],0,0,,0
CSA,Central and South America,SUR,Suriname,1963,All,Age45_49,[45-49],1,1.61290323,,9.87459267
CSA,Central and South America,SUR,Suriname,1963,All,Age60_64,[60-64],1,0.61349693,,15.06931887
CSA,Central and South America,SUR,Suriname,1963,All,Age65_69,[65-69],1,0.48780488,,20.65688907
CSA,Central and South America,SUR,Suriname,1963,All,Age70_74,[70-74],0,0,,0
CSA,Central and South America,SUR,Suriname,1963,All,Age75_79,[75-79],0,0,,0
CSA,Central and South America,SUR,Suriname,1963,All,Age80_84,[80-84],0,0,,0
CSA,Central and South America,SUR,Suriname,1963,All,Age85_over,[85+],0,0,,0
CSA,Central and South America,SUR,Suriname,1963,Male,Age_all,[All],7,0.51698671,6.69851161,4.50247636
CSA,Central and South America,SUR,Suriname,1963,Male,Age_unknown,[Unknown],0,0,,
CSA,Central and South America,SUR,Suriname,1963,Male,Age00,[0],0,0,,0
CSA,Central and South America,SUR,Suriname,1963,Male,Age01_04,[1-4],0,0,,0
CSA,Central and South America,SUR,Suriname,1963,Male,Age05_09,[5-9],0,0,,0
CSA,Central and South America,SUR,Suriname,1963,Male,Age10_14,[10-14],0,0,,0
CSA,Central and South America,SUR,Suriname,1963,Male,Age15_19,[15-19],1,4.54545455,,7.27114084
CSA,Central and South America,SUR,Suriname,1963,Male,Age20_24,[20-24],1,5.88235294,,9.44287063
CSA,Central and South America,SUR,Suriname,1963,Male,Age25_29,[25-29],0,0,,0
CSA,Central and South America,SUR,Suriname,1963,Male,Age30_34,[30-34],1,3.44827586,,11.09385401
