Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
CSA,Central and South America,URY,Uruguay,1955,All,Age_all,[All],297,1.44188756,12.65313698,12.53164557
CSA,Central and South America,URY,Uruguay,1955,All,Age45_49,[45-49],20,2.38095238,,14.59854015
CSA,Central and South America,URY,Uruguay,1955,All,Age50_54,[50-54],21,1.66799047,,16.15384615
CSA,Central and South America,URY,Uruguay,1955,All,Age55_59,[55-59],26,1.78694158,,24.07407407
CSA,Central and South America,URY,Uruguay,1955,All,Age60_64,[60-64],21,1.10817942,,22.34042553
CSA,Central and South America,URY,Uruguay,1955,All,Age65_69,[65-69],15,0.73170732,,21.12676056
CSA,Central and South America,URY,Uruguay,1955,All,Age00,[0],0,0,,0
CSA,Central and South America,URY,Uruguay,1955,All,Age01_04,[1-4],0,0,,0
CSA,Central and South America,URY,Uruguay,1955,All,Age05_09,[5-9],0,0,,0
CSA,Central and South America,URY,Uruguay,1955,All,Age10_14,[10-14],13,10.83333333,,6.34146341
CSA,Central and South America,URY,Uruguay,1955,All,Age15_19,[15-19],32,14.03508772,,16.84210526
CSA,Central and South America,URY,Uruguay,1955,All,Age20_24,[20-24],38,11.17647059,,21.46892655
CSA,Central and South America,URY,Uruguay,1955,All,Age25_29,[25-29],31,9.84126984,,18.02325581
CSA,Central and South America,URY,Uruguay,1955,All,Age30_34,[30-34],22,5.89812332,,11.89189189
CSA,Central and South America,URY,Uruguay,1955,All,Age35_39,[35-39],13,3.117506,,7.55813953
CSA,Central and South America,URY,Uruguay,1955,All,Age40_44,[40-44],23,3.71567044,,14.83870968
CSA,Central and South America,URY,Uruguay,1955,All,Age_unknown,[Unknown],5,4.58715596,,
CSA,Central and South America,URY,Uruguay,1955,All,Age70_74,[70-74],10,0.47036689,,19.23076923
CSA,Central and South America,URY,Uruguay,1955,All,Age75_79,[75-79],5,0.24912805,,15.625
CSA,Central and South America,URY,Uruguay,1955,All,Age80_84,[80-84],1,0.06184292,,5.55555556
CSA,Central and South America,URY,Uruguay,1955,All,Age85_over,[85+],1,0.05727377,,8.33333333
CSA,Central and South America,URY,Uruguay,1955,Male,Age60_64,[60-64],17,1.36986301,,36.95652174
CSA,Central and South America,URY,Uruguay,1955,Male,Age_unknown,[Unknown],5,6.75675676,,
CSA,Central and South America,URY,Uruguay,1955,Male,Age65_69,[65-69],13,1.0851419,,38.23529412
CSA,Central and South America,URY,Uruguay,1955,Male,Age_all,[All],207,1.81738367,17.60702623,17.51269036
CSA,Central and South America,URY,Uruguay,1955,Male,Age00,[0],0,0,,0
CSA,Central and South America,URY,Uruguay,1955,Male,Age01_04,[1-4],0,0,,0
CSA,Central and South America,URY,Uruguay,1955,Male,Age05_09,[5-9],0,0,,0
CSA,Central and South America,URY,Uruguay,1955,Male,Age70_74,[70-74],9,0.75757576,,36
CSA,Central and South America,URY,Uruguay,1955,Male,Age75_79,[75-79],2,0.19157088,,14.28571429
CSA,Central and South America,URY,Uruguay,1955,Male,Age80_84,[80-84],1,0.14662757,,14.28571429
CSA,Central and South America,URY,Uruguay,1955,Male,Age85_over,[85+],1,0.16025641,,25
CSA,Central and South America,URY,Uruguay,1955,Male,Age10_14,[10-14],4,5.79710145,,3.80952381
CSA,Central and South America,URY,Uruguay,1955,Male,Age15_19,[15-19],9,7.56302521,,9.57446809
CSA,Central and South America,URY,Uruguay,1955,Male,Age20_24,[20-24],27,12.3853211,,30.33707865
CSA,Central and South America,URY,Uruguay,1955,Male,Age25_29,[25-29],22,11.70212766,,26.19047619
CSA,Central and South America,URY,Uruguay,1955,Male,Age30_34,[30-34],15,7.38916256,,16.30434783
CSA,Central and South America,URY,Uruguay,1955,Male,Age35_39,[35-39],12,5.42986425,,14.11764706
CSA,Central and South America,URY,Uruguay,1955,Male,Age40_44,[40-44],16,4.71976401,,20.51282051
CSA,Central and South America,URY,Uruguay,1955,Male,Age45_49,[45-49],14,2.65151515,,20.89552239
CSA,Central and South America,URY,Uruguay,1955,Male,Age50_54,[50-54],17,2.14646465,,25.37313433
CSA,Central and South America,URY,Uruguay,1955,Male,Age55_59,[55-59],23,2.47311828,,41.07142857
CSA,Central and South America,URY,Uruguay,1955,Female,Age_all,[All],90,0.97741095,7.82138128,7.57575758
CSA,Central and South America,URY,Uruguay,1955,Female,Age00,[0],0,0,,0
CSA,Central and South America,URY,Uruguay,1955,Female,Age01_04,[1-4],0,0,,0
CSA,Central and South America,URY,Uruguay,1955,Female,Age05_09,[5-9],0,0,,0
CSA,Central and South America,URY,Uruguay,1955,Female,Age10_14,[10-14],9,17.64705882,,9
CSA,Central and South America,URY,Uruguay,1955,Female,Age15_19,[15-19],23,21.10091743,,23.95833333
CSA,Central and South America,URY,Uruguay,1955,Female,Age20_24,[20-24],11,9.01639344,,12.5
CSA,Central and South America,URY,Uruguay,1955,Female,Age25_29,[25-29],9,7.08661417,,10.22727273
CSA,Central and South America,URY,Uruguay,1955,Female,Age30_34,[30-34],7,4.11764706,,7.52688172
CSA,Central and South America,URY,Uruguay,1955,Female,Age35_39,[35-39],1,0.51020408,,1.14942529
CSA,Central and South America,URY,Uruguay,1955,Female,Age40_44,[40-44],7,2.5,,9.09090909
CSA,Central and South America,URY,Uruguay,1955,Female,Age45_49,[45-49],6,1.92307692,,8.57142857
CSA,Central and South America,URY,Uruguay,1955,Female,Age50_54,[50-54],4,0.85653105,,6.34920635
CSA,Central and South America,URY,Uruguay,1955,Female,Age55_59,[55-59],3,0.57142857,,5.76923077
